<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.03.29	00:00:08.626	1.65617	1.65629			6
2024.03.29	00:00:08.671	1.65612	1.65634			6
2024.03.29	00:00:08.789	1.65598	1.65642			6
2024.03.29	00:00:09.055	1.65608	1.65634			6
2024.03.29	00:00:09.172	1.65594	1.65656			6
2024.03.29	00:00:09.172	1.65589	1.65650			6
2024.03.29	00:00:09.202		1.65653			4
2024.03.29	00:00:09.202	1.65591				2
2024.03.29	00:00:09.202		1.65656			4
2024.03.29	00:00:09.214		1.65655			4
2024.03.29	00:00:09.215		1.65658			4
2024.03.29	00:00:09.240	1.65592				2
2024.03.29	00:00:09.350	1.65606	1.65637			6
2024.03.29	00:00:09.350		1.65639			4
2024.03.29	00:00:09.351		1.65642			4
2024.03.29	00:00:14.141		1.65638			4
2024.03.29	00:00:15.153		1.65636			4
2024.03.29	00:00:16.153		1.65633			4
2024.03.29	00:00:19.060		1.65632			4
2024.03.29	00:00:21.089		1.65633			4
2024.03.29	00:00:22.382		1.65628			4
2024.03.29	00:00:40.058	1.65608	1.65626			6
2024.03.29	00:00:41.132	1.65604	1.65622			6
2024.03.29	00:00:43.239	1.65605	1.65628			6
2024.03.29	00:00:43.530		1.65630			4
2024.03.29	00:00:43.634	1.65606	1.65638			6
2024.03.29	00:00:44.251	1.65600	1.65632			6
2024.03.29	00:00:45.350	1.65605	1.65639			6
2024.03.29	00:00:49.569	1.65576	1.65641			6
2024.03.29	00:00:49.870	1.65573				2
2024.03.29	00:00:50.069	1.65576	1.65643			6
2024.03.29	00:00:50.283		1.65641			4
2024.03.29	00:00:50.469	1.65568				2
2024.03.29	00:00:50.685	1.65573				2
2024.03.29	00:00:52.089	1.65576				2
2024.03.29	00:00:52.298	1.65570				2
2024.03.29	00:00:54.100		1.65629			4
2024.03.29	00:00:54.220		1.65634			4
2024.03.29	00:00:54.311		1.65631			4
2024.03.29	00:00:54.511	1.65567				2
2024.03.29	00:00:55.120		1.65632			4
2024.03.29	00:00:55.300		1.65629			4
2024.03.29	00:00:55.420		1.65626			4
2024.03.29	00:00:56.129	1.65562				2
2024.03.29	00:00:57.320	1.65567				2
2024.03.29	00:00:57.532	1.65562				2
2024.03.29	00:01:00.952	1.65562	1.65628			6
